startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
970,1,1,978,1,1,10202,紫式部,2,1,誕生(諸説),,https://ja.wikipedia.org/wiki/%E7%B4%AB%E5%BC%8F%E9%83%A8#%E7%94%9F%E6%B2%A1%E5%B9%B4,https://upload.wikimedia.org/wikipedia/commons/a/a6/Tosa_Mitsuoki_001.jpg,"Tosa Mitsuoki (1617-1691), Public domain, via Wikimedia Commons"
998,1,1,,,,10202,紫式部,2,2,藤原宣孝と結婚,,,,
999,1,1,,,,10202,紫式部,2,3,出産,,,,
1001,1,1,,,,10202,紫式部,2,4,藤原宣孝と死別,,,,
1002,1,1,,,,10202,紫式部,2,3,『源氏物語』書き始める,,https://ja.wikipedia.org/wiki/%E6%BA%90%E6%B0%8F%E7%89%A9%E8%AA%9E,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ch5_wakamurasaki.jpg,"Tosa Mitsuoki, Public domain, via Wikimedia Commons"
1006,1,1,1012,1,1,10202,紫式部,2,1,中宮彰子に仕える,,https://ja.wikipedia.org/wiki/%E8%97%A4%E5%8E%9F%E5%BD%B0%E5%AD%90,,
1008,1,1,1010,1,1,10202,紫式部,2,2,『紫式部日記』,,https://ja.wikipedia.org/wiki/%E7%B4%AB%E5%BC%8F%E9%83%A8%E6%97%A5%E8%A8%98,,
1014,1,1,1034,1,1,10202,紫式部,2,4,死去(諸説),,,,
970,1,1,1034,1,1,10202,紫式部,1,,紫式部,#3C7D22,,,
