startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
-4600000000,1,1,-4000000000,1,1,19000,地質年代,2,,冥王代,,,,
-4000000000,1,1,-3600000000,1,1,19000,地質年代,2,,原太古代,,,,
-3600000000,1,1,-3200000000,1,1,19000,地質年代,2,,古太古代,,,,
-3200000000,1,1,-2800000000,1,1,19000,地質年代,2,,中太古代,,,,
-2800000000,1,1,-2500000000,1,1,19000,地質年代,2,,新太古代,,,,
-2500000000,1,1,-2300000000,1,1,19000,地質年代,2,,シデリアン,,,,
-2300000000,1,1,-2050000000,1,1,19000,地質年代,2,,リィアキアン,,,,
-2050000000,1,1,-1800000000,1,1,19000,地質年代,2,,オロシリアン,,,,
-1800000000,1,1,-1600000000,1,1,19000,地質年代,2,,スタテリアン,,,,
-1600000000,1,1,-1400000000,1,1,19000,地質年代,2,,カリミアン,,,,
-1400000000,1,1,-1200000000,1,1,19000,地質年代,2,,エクタシアン,,,,
-1200000000,1,1,-1000000000,1,1,19000,地質年代,2,,ステニアン,,,,
-1000000000,1,1,-720000000,1,1,19000,地質年代,2,,トニアン,,,,
-720000000,1,1,-635000000,1,1,19000,地質年代,2,,クライオジェニアン,,,,
-635000000,1,1,-541000000,1,1,19000,地質年代,2,,エディアカラン,,,,
-541000000,1,1,-485400000,1,1,19000,地質年代,2,,カンブリア紀,,,,
-485400000,1,1,-443800000,1,1,19000,地質年代,2,,オルドビス紀,,,,
-443800000,1,1,-419200000,1,1,19000,地質年代,2,,シルル紀,,,,
-419200000,1,1,-358900000,1,1,19000,地質年代,2,,デボン紀,,,,
-358900000,1,1,-298900000,1,1,19000,地質年代,2,,石炭紀,,,,
-298900000,1,1,-251902000,1,1,19000,地質年代,2,,ペルム紀,,,,
-251902000,1,1,-201300000,1,1,19000,地質年代,2,,三畳紀,,,,
-201300000,1,1,-145000000,1,1,19000,地質年代,2,,ジュラ紀,,,,
-145000000,1,1,-66000000,1,1,19000,地質年代,2,,白亜紀,,,,
-66000000,1,1,-23030000,1,1,19000,地質年代,2,,古第三紀,,,,
-23030000,1,1,-2580000,1,1,19000,地質年代,2,,新第三紀,,,,
-2580000,1,1,2025,1,1,19000,地質年代,2,,第四紀,,,,
-4600000000,1,1,-4000000000,1,1,19000,地質年代,1,,冥王代,#0D0D0D,,,
-4000000000,1,1,-3600000000,1,1,19000,地質年代,1,,原太古代,#403333,,,
-3600000000,1,1,-3200000000,1,1,19000,地質年代,1,,古太古代,#736565,,,
-3200000000,1,1,-2800000000,1,1,19000,地質年代,1,,中太古代,#A6A085,,,
-2800000000,1,1,-2500000000,1,1,19000,地質年代,1,,新太古代,#F2F2F2,,,
-2500000000,1,1,-1600000000,1,1,19000,地質年代,1,,古原生代,#738C16,,,
-1600000000,1,1,-1000000000,1,1,19000,地質年代,1,,中原生代,#9DBF21,,,
-1000000000,1,1,-541000000,1,1,19000,地質年代,1,,新原生代,#D4D955,,,
-541000000,1,1,-251902000,1,1,19000,地質年代,1,,古生代,#27CFFF,,,
-251902000,1,1,-66000000,1,1,19000,地質年代,1,,中生代,#85E5E8,,,
-66000000,1,1,2025,1,1,19000,地質年代,1,,新生代,#BCE8FF,,,
