startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
-5000,1,1,-500,1,1,10000,日本の歴史,1,,縄文時代,#4D93D9,,,
-500,1,1,250,1,1,10000,日本の歴史,1,,弥生時代,#44B3E1,,,
250,1,1,593,1,1,10000,日本の歴史,1,,古墳時代,#47D359,,,
593,1,1,710,1,1,10000,日本の歴史,1,,飛鳥時代,#E49EDD,,,
710,1,1,794,1,1,10000,日本の歴史,1,,奈良時代,#BE5014,,,
794,1,1,1192,1,1,10000,日本の歴史,1,,平安時代,#4D93D9,,,
1192,1,1,1333,1,1,10000,日本の歴史,1,,鎌倉時代,#44B3E1,,,
1336,1,1,1573,1,1,10000,日本の歴史,1,,室町時代,#47D359,,,
1573,1,1,1603,1,1,10000,日本の歴史,1,,安土桃山時代,#E49EDD,,,
1603,1,1,1868,1,1,10000,日本の歴史,1,,江戸時代,#BE5014,,,
1868,1,1,1912,1,1,10000,日本の歴史,1,,明治時代,#4D93D9,,,
1912,1,1,1926,1,1,10000,日本の歴史,1,,大正時代,#44B3E1,,,
1926,1,1,1989,1,1,10000,日本の歴史,1,,昭和時代,#47D359,,,
1989,1,1,2019,1,1,10000,日本の歴史,1,,平成時代,#E49EDD,,,
2019,1,1,2025,1,1,10000,日本の歴史,1,,令和時代,#BE5014,,,
-3500,1,1,,,,10000,日本の歴史,2,,山内丸山遺跡,,https://ja.wikipedia.org/wiki/%E4%B8%89%E5%86%85%E4%B8%B8%E5%B1%B1%E9%81%BA%E8%B7%A1,https://upload.wikimedia.org/wikipedia/commons/1/1d/140913_Sannai-Maruyama_site_Aomori_Japan01bs6bs6.jpg,"663highland, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons"
-1000,1,1,,,,10000,日本の歴史,2,,稲作が始まる(菜畑遺跡など),,https://ja.wikipedia.org/wiki/%E8%8F%9C%E7%95%91%E9%81%BA%E8%B7%A1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Nabatake_Site_rice_field.JPG,"Pekachu, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
-660,1,1,,,,10000,日本の歴史,2,,神武天皇即位(伝説),,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%AD%A6%E5%A4%A9%E7%9A%87,https://upload.wikimedia.org/wikipedia/commons/0/0d/Tenn%C5%8D_Jimmu_image_01.jpg,"Renzō Kita, Public domain, via Wikimedia Commons"
-300,1,1,,,,10000,日本の歴史,2,,環壕集落(吉野ケ里遺跡),,https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E3%83%B6%E9%87%8C%E9%81%BA%E8%B7%A1,https://upload.wikimedia.org/wikipedia/commons/3/38/Yoshinogari-iseki_zenkei.JPG,"Saigen Jiro, CC0, via Wikimedia Commons"
57,1,1,,,,10000,日本の歴史,2,,倭奴国王が後漢に遣使,,https://ja.wikipedia.org/wiki/%E5%A5%B4%E5%9B%BD,,
239,1,1,,,,10000,日本の歴史,2,,卑弥呼が魏に遣使,,https://ja.wikipedia.org/wiki/%E5%8D%91%E5%BC%A5%E5%91%BC,,
350,1,1,,,,10000,日本の歴史,2,,ヤマト王権の成立(？),,https://ja.wikipedia.org/wiki/%E3%83%A4%E3%83%9E%E3%83%88%E7%8E%8B%E6%A8%A9,https://upload.wikimedia.org/wikipedia/commons/8/8a/Unebi-yama.jpg,"ウォーレンさわかみ, CC BY-SA 2.1 JP <https://creativecommons.org/licenses/by-sa/2.1/jp/deed.en>, via Wikimedia Commons"
391,1,1,404,1,1,10000,日本の歴史,2,1,倭・高句麗戦争,,https://ja.wikipedia.org/wiki/%E5%80%AD%E3%83%BB%E9%AB%98%E5%8F%A5%E9%BA%97%E6%88%A6%E4%BA%89,,
538,1,1,,,,10000,日本の歴史,2,,仏教公伝,,https://ja.wikipedia.org/wiki/%E4%BB%8F%E6%95%99%E5%85%AC%E4%BC%9D,,
587,1,1,,,,10000,日本の歴史,2,,蘇我氏が物部氏を滅ぼす(丁未の変),,https://ja.wikipedia.org/wiki/%E4%B8%81%E6%9C%AA%E3%81%AE%E4%B9%B1,,
593,1,1,,,,10000,日本の歴史,2,,推古天皇即位　聖徳太子の摂政開始,,https://ja.wikipedia.org/wiki/%E8%81%96%E5%BE%B3%E5%A4%AA%E5%AD%90,https://upload.wikimedia.org/wikipedia/commons/4/45/Sh%C5%8Dtoku_Taishi_Sh%C5%8Dmanky%C5%8D_K%C5%8Dsan.jpg,"Taishi Town, Hyogo Prefecture [1], Public domain, via Wikimedia Commons"
604,1,1,,,,10000,日本の歴史,2,,十七条憲法制定,,https://ja.wikipedia.org/wiki/%E5%8D%81%E4%B8%83%E6%9D%A1%E6%86%B2%E6%B3%95,,
607,1,1,,,,10000,日本の歴史,2,,小野妹子を隋に遣わす(遣隋使),,https://ja.wikipedia.org/wiki/%E5%B0%8F%E9%87%8E%E5%A6%B9%E5%AD%90,,
607,1,1,,,,10000,日本の歴史,2,,法隆寺創建,,https://ja.wikipedia.org/wiki/%E6%B3%95%E9%9A%86%E5%AF%BA,https://upload.wikimedia.org/wikipedia/commons/e/e4/Horyu-ji45s2s4500.jpg,"663highland, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons"
630,1,1,,,,10000,日本の歴史,2,,犬上御田鍬を唐に派遣(遣唐使初め),,https://ja.wikipedia.org/wiki/%E7%8A%AC%E4%B8%8A%E5%BE%A1%E7%94%B0%E9%8D%AC,,
645,1,1,,,,10000,日本の歴史,2,,中大兄皇子と中臣鎌足による蘇我氏宗家誅滅（乙巳の変）,,https://ja.wikipedia.org/wiki/%E4%B9%99%E5%B7%B3%E3%81%AE%E5%A4%89,https://upload.wikimedia.org/wikipedia/commons/3/32/Irukaansatsuzu.jpg,"Gukei Sumiyoshi, Public domain, via Wikimedia Commons"
645,1,1,,,,10000,日本の歴史,2,,大化の改新,,,,
663,1,1,,,,10000,日本の歴史,2,,白村江の戦い(日本・百済vs唐・新羅),,https://ja.wikipedia.org/wiki/%E7%99%BD%E6%9D%91%E6%B1%9F%E3%81%AE%E6%88%A6%E3%81%84,,
672,1,1,,,,10000,日本の歴史,2,,壬申の乱　飛鳥京に遷都,,https://ja.wikipedia.org/wiki/%E5%A3%AC%E7%94%B3%E3%81%AE%E4%B9%B1,,
694,1,1,,,,10000,日本の歴史,2,,藤原京に遷都,,https://ja.wikipedia.org/wiki/%E8%97%A4%E5%8E%9F%E4%BA%AC,https://upload.wikimedia.org/wikipedia/commons/f/fb/210401_One-thousandth_scale_model_of_Aramashinomiyako.jpg,"名古屋太郎, CC0, via Wikimedia Commons"
