startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,eventColor
-1680,1,1,-1500,1,1,古王国,,11002,ヒッタイト,#4D93D9
-1500,1,1,-1400,1,1,中王国,,11002,ヒッタイト,#44B3E1
-1400,1,1,-1210,1,1,新王国,,11002,ヒッタイト,#47D359
-1370,1,1,,,,シュッピルリウマ1世　(中興の祖　ミタンニ攻略),,11002,ヒッタイト,,
-1330,1,1,,,,ムルシリ2世(シュッピルリウマ1世の息子),,11002,ヒッタイト,,
-1295,1,1,,,,ムワタリ2世(ムルシリ2世の息子　ラムセス2世とカデシュで戦う),,11002,ヒッタイト,,
