startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1750,2,13,,,,10101,蔦屋重三郎,2,,新吉原で誕生,,https://ja.wikipedia.org/wiki/%E8%94%A6%E5%B1%8B%E9%87%8D%E4%B8%89%E9%83%8E,https://upload.wikimedia.org/wikipedia/commons/5/58/Tsutaya_juuzaburou.jpg,"山東京伝, Public domain, via Wikimedia Commons"
1773,1,1,,,,10101,蔦屋重三郎,2,,本屋「書肆耕書堂」を営む,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Magaki_no_hana_1775.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Magaki_no_hana_1775.jpg,"蔦屋重三郎, Public domain, via Wikimedia Commons"
1774,1,1,,,,10101,蔦屋重三郎,2,,「蔦屋」の名で初めて北尾重政の評判記『一目千本』刊行,,,,
1783,1,1,,,,10101,蔦屋重三郎,2,,日本橋通油町に進出,,,,
1783,1,1,,,,10101,蔦屋重三郎,2,,狂歌師として活動　著名な狂歌師たちとつながりをもつ,,,,
1791,1,1,,,,10101,蔦屋重三郎,2,,風紀取締により重課料の処分,,,,
1792,1,1,,,,10101,蔦屋重三郎,2,,曲亭馬琴が蔦屋で働き始める,,https://ja.wikipedia.org/wiki/%E6%9B%B2%E4%BA%AD%E9%A6%AC%E7%90%B4,https://upload.wikimedia.org/wikipedia/commons/7/79/Kyokutei_Bakin.jpg,"Hannah, Public domain, via Wikimedia Commons"
1794,1,1,,,,10101,蔦屋重三郎,2,,写楽刊行,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Busteportret_van_Ichikawa_Ebizo_IV-Rijksmuseum_RP-P-1956-586.jpeg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Busteportret_van_Ichikawa_Ebizo_IV-Rijksmuseum_RP-P-1956-586.jpeg,"Rijksmuseum, Public domain, via Wikimedia Commons"
1795,1,1,,,,10101,蔦屋重三郎,2,,蔦屋重三郎として確認されている最後の錦絵（東洲斎写楽作）刊行,,,,
1797,5,31,,,,10101,蔦屋重三郎,2,,病(脚気)により病死,,,,
1750,2,13,1797,5,31,10101,毛利元就,1,,蔦屋重三郎,#3C7D22,,,
