startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
966,1,1,,,,10201,清少納言,2,2,清原元輔の子として誕生(説),,https://ja.wikipedia.org/wiki/%E6%B8%85%E5%B0%91%E7%B4%8D%E8%A8%80,https://upload.wikimedia.org/wikipedia/commons/6/6f/Sei_Shonagon2.jpg,"土佐光起 (Tosa Mitsuoki), Public domain, via Wikimedia Commons"
974,1,1,,,,10201,清少納言,2,3,父・元輔の周防守赴任に際し同行,,,,
974,1,1,978,1,1,10201,清少納言,2,1,周防で過ごす,,,,
981,1,1,,,,10201,清少納言,2,2,藤原斉信の家司・橘則光と結婚,https://ja.wikipedia.org/wiki/%E6%A9%98%E5%89%87%E5%85%89,,,
983,1,1,,,,10201,清少納言,2,4,橘則長を出産,,,,
993,1,1,1000,1,1,10201,清少納言,2,1,宮仕,,,,
993,1,1,,,,10201,清少納言,2,2,中宮定子に仕える,,https://ja.wikipedia.org/wiki/%E8%97%A4%E5%8E%9F%E5%AE%9A%E5%AD%90,,
1000,1,1,,,,10201,清少納言,2,3,中宮定子亡くなる,,,,
1001,1,1,,,,10201,清少納言,2,4,この頃枕草子完成,,https://ja.wikipedia.org/wiki/%E6%9E%95%E8%8D%89%E5%AD%90,https://upload.wikimedia.org/wikipedia/commons/d/d6/Sei_Shonagon3.jpg,"See page for author, Public domain, via Wikimedia Commons"
1010,1,1,,,,10201,清少納言,2,2,再婚相手の任国摂津に下った説(？),,,,
1010,1,1,,,,10201,清少納言,2,3,再出仕で紫式部らと接触説(？),,,,
1025,1,1,,,,10201,清少納言,2,4,この頃死去したとされる,,,,
966,1,1,1025,1,1,10201,清少納言,1,,清少納言,#3C7D22,,,
